Product ID,Category,Sub-Category,Product Name,PRICE,DISCOUNT,PROFIT
OFF-AP-10001621,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Black",330,0.02,0.07
OFF-HOO-10001881,Office Supplies,Appliances,"Hoover Stove, White",84,0.17,0.05
TEC-CO-10001954,Technology,Copiers,"Brother Wireless Fax, Laser",93,0.17,0.05
FUR-BO-10003282,Furniture,Bookcases,"Ikea Classic Bookcase, Mobile",181,0.17,0.09
TEC-CO-10003102,Technology,Copiers,"Canon Copy Machine, Color",110,0.12,0.17
FUR-TA-10003392,Furniture,Tables,Global Adaptabilities Conference Tables,321,0.08,0.19
OFF-AP-10002552,Office Supplies,Appliances,"Hamilton Beach Stove, White",121,0.08,0.17
TEC-MOT-10000554,Technology,Phones,"Motorola Smart Phone, Full Size",110,0.09,0.15
FUR-TA-10003627,Furniture,Tables,"Bevis Conference Table, with Bottom Storage",170,0.11,0.15
FUR-BO-10001133,Furniture,Bookcases,"Ikea Classic Bookcase, Mobile",181,0,0.03
TEC-MA-10003515,Technology,Machines,"Panasonic Printer, Red",255,0.19,0.11
OFF-AP-10002904,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Silver",72,0.16,0.19
TEC-MOT-10003348,Technology,Phones,"Motorola Smart Phone, Full Size",110,0.15,0.1
TEC-PH-10001990,Technology,Phones,"Cisco Smart Phone, Full Size",151,0.07,0.11
TEC-PH-10002898,Technology,Phones,"Samsung Smart Phone, Full Size",322,0.09,0.11
TEC-CO-10001633,Technology,Copiers,"Sharp Fax Machine, High-Speed",308,0.01,0.03
TEC-PH-10002623,Technology,Phones,"Cisco Smart Phone, with Caller ID",70,0.02,0.04
FUR-TA-10004575,Furniture,Tables,Hon 5100 Series Wood Tables,275,0.06,0.08
FUR-BO-10001498,Furniture,Bookcases,"Dania Classic Bookcase, Pine",283,0.2,0.1
OFF-AP-10003598,Office Supplies,Appliances,"Breville Refrigerator, Red",65,0.04,0.06
FUR-CH-10001582,Furniture,Chairs,"Office Star Executive Leather Armchair, Black",121,0.1,0.14
TEC-MA-10001047,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, Magenta",263,0,0.06
TEC-PH-10000505,Technology,Phones,"Apple Smart Phone, with Caller ID",230,0,0.13
FUR-BO-10002003,Furniture,Bookcases,"Sauder Classic Bookcase, Metal",114,0.09,0.03
TEC-CO-10001775,Technology,Copiers,"Sharp Wireless Fax, Laser",165,0.08,0.15
OFF-AP-10000647,Office Supplies,Appliances,"Hoover Refrigerator, White",121,0.05,0.11
TEC-MA-10004002,Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,64,0,0.18
TEC-CO-10001926,Technology,Copiers,"Hewlett Wireless Fax, Laser",84,0.17,0.05
OFF-ST-10001496,Office Supplies,Storage,Standard Rollaway File with Lock,173,0.11,0.11
FUR-CH-10002203,Furniture,Chairs,"SAFCO Executive Leather Armchair, Black",287,0.03,0.16
FUR-BO-10001934,Furniture,Bookcases,"Bush Library with Doors, Metal",92,0.16,0.18
TEC-CO-10000562,Technology,Copiers,"HP Wireless Fax, Digital",186,0.17,0.02
TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",206,0.01,0.01
OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,102,0.16,0.2
TEC-CO-10002035,Technology,Copiers,"Canon Wireless Fax, High-Speed",144,0.14,0.11
TEC-CO-10004099,Technology,Copiers,"Sharp Fax Machine, Digital",276,0.05,0.14
TEC-PH-10003002,Technology,Phones,"Cisco Smart Phone, Full Size",151,0.18,0.02
FUR-TA-10001932,Furniture,Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",330,0,0.12
TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,147,0.08,0.19
FUR-CH-10000749,Furniture,Chairs,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,283,0.15,0.17
TEC-CO-10004398,Technology,Copiers,"Brother Copy Machine, Color",128,0.14,0.17
TEC-CO-10004535,Technology,Copiers,"Hewlett Fax Machine, High-Speed",54,0.06,0.04
TEC-AC-10000420,Technology,Accessories,"Belkin Router, USB",269,0.2,0.02
FUR-BO-10001212,Furniture,Bookcases,"Safco Classic Bookcase, Mobile",79,0.05,0.2
TEC-PH-10001670,Technology,Phones,"Motorola Smart Phone, Full Size",110,0.17,0.13
FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,330,0.04,0.18
FUR-BO-10004679,Furniture,Bookcases,"Safco Library with Doors, Pine",259,0.06,0.06
OFF-AP-10001776,Office Supplies,Appliances,"Hoover Refrigerator, Red",310,0.07,0.15
TEC-MA-10003704,Technology,Machines,"StarTech Printer, Wireless",210,0.03,0.2
FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,135,0.05,0.03
TEC-MA-10000984,Technology,Machines,Okidata MB760 Printer,226,0.11,0.19
TEC-AC-10000376,Technology,Accessories,"Memorex Router, Bluetooth",224,0.11,0.18
TEC-CO-10003800,Technology,Copiers,"Hewlett Wireless Fax, Color",53,0.14,0.1
TEC-SAM-10004230,Technology,Phones,"Samsung Smart Phone, Cordless",226,0.14,0.02
FUR-CH-10002320,Furniture,Chairs,Hon Pagoda Stacking Chairs,211,0.04,0.08
OFF-AP-10002312,Office Supplies,Appliances,"KitchenAid Refrigerator, Black",152,0.04,0
TEC-PH-10000169,Technology,Phones,"Apple Smart Phone, with Caller ID",230,0.04,0.05
FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs,122,0.18,0.03
FUR-BO-10000288,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",60,0.02,0.03
TEC-AC-10000866,Technology,Accessories,"Belkin Router, Erganomic",117,0.09,0.14
OFF-AP-10001623,Office Supplies,Appliances,"Hoover Stove, White",84,0.09,0.14
FUR-BO-10003541,Furniture,Bookcases,"Bush Classic Bookcase, Metal",106,0.17,0.12
TEC-CO-10004365,Technology,Copiers,"HP Wireless Fax, Color",309,0.09,0.11
TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,107,0.04,0.17
TEC-PH-10000800,Technology,Phones,"Cisco Smart Phone, Full Size",151,0.07,0.13
FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",45,0.2,0.2
FUR-TA-10001642,Furniture,Tables,"Lesro Round Table, Rectangular",100,0.06,0.05
OFF-AP-10001041,Office Supplies,Appliances,"Hoover Stove, White",84,0.11,0.04
OFF-AP-10002090,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Red",86,0.04,0.11
OFF-AP-10002330,Office Supplies,Appliances,"Hamilton Beach Stove, Silver",90,0.19,0.12
TEC-CIS-10002344,Technology,Phones,"Cisco Smart Phone, Full Size",151,0.02,0.17
FUR-TA-10002153,Furniture,Tables,"Lesro Round Table, with Bottom Storage",174,0.01,0.07
OFF-AP-10004964,Office Supplies,Appliances,"Hoover Stove, White",84,0.17,0.15
TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,304,0.09,0.1
FUR-CH-10002061,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Red",275,0.14,0.1
TEC-PH-10002759,Technology,Phones,"Cisco Smart Phone, Cordless",188,0.06,0.06
TEC-PH-10001699,Technology,Phones,"Samsung Smart Phone, Full Size",322,0.13,0.19
TEC-MA-10000418,Technology,Machines,Cubify CubeX 3D Printer Double Head Print,196,0.18,0.12
TEC-PH-10001494,Technology,Phones,Polycom CX600 IP Phone VoIP phone,314,0.09,0.01
FUR-BO-10000490,Furniture,Bookcases,"Bush Library with Doors, Metal",92,0.03,0.03
TEC-PH-10000018,Technology,Phones,"Nokia Smart Phone, Full Size",279,0.09,0.15
FUR-HON-10003533,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",204,0.08,0.01
TEC-AC-10001949,Technology,Accessories,"Enermax Router, Bluetooth",50,0.14,0.07
OFF-HOO-10004910,Office Supplies,Appliances,"Hoover Refrigerator, White",121,0.09,0.15
TEC-MA-10001335,Technology,Machines,"Epson Printer, Durable",157,0.17,0.09
FUR-TA-10000347,Furniture,Tables,"Hon Computer Table, Adjustable Height",244,0.16,0.06
TEC-PH-10000493,Technology,Phones,"Apple Smart Phone, Full Size",257,0.01,0.18
FUR-TA-10003596,Furniture,Tables,"Lesro Computer Table, Adjustable Height",62,0.15,0.05
FUR-TA-10003179,Furniture,Tables,"Lesro Wood Table, Fully Assembled",246,0.05,0.16
TEC-PH-10001396,Technology,Phones,"Nokia Smart Phone, Cordless",287,0.01,0.17
FUR-TA-10003078,Furniture,Tables,"Hon Training Table, Fully Assembled",156,0,0.15
FUR-CH-10003581,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",204,0.07,0.07
FUR-TA-10000184,Furniture,Tables,"Barricks Conference Table, Fully Assembled",169,0.19,0.09
OFF-AP-10001956,Office Supplies,Appliances,"Breville Refrigerator, Black",261,0.12,0.07
TEC-PH-10002200,Technology,Phones,Samsung Galaxy Note 2,223,0.08,0.11
OFF-AP-10003382,Office Supplies,Appliances,"Breville Stove, White",141,0.2,0.12
OFF-ST-10002011,Office Supplies,Storage,Smead Adjustable Mobile File Trolley with Lockable Top,136,0.14,0
OFF-AP-10003917,Office Supplies,Appliances,"KitchenAid Stove, Silver",201,0.07,0.14
OFF-ST-10002900,Office Supplies,Storage,"Smead Lockers, Wire Frame",183,0.06,0.12
TEC-CO-10003819,Technology,Copiers,"Sharp Copy Machine, High-Speed",219,0.08,0
OFF-AP-10000675,Office Supplies,Appliances,"Hamilton Beach Stove, White",121,0.04,0.2
FUR-BO-10003404,Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",160,0.09,0.07
OFF-AP-10001824,Office Supplies,Appliances,"Breville Stove, Silver",233,0.2,0.15
OFF-SME-10000746,Office Supplies,Storage,"Smead Lockers, Industrial",99,0.03,0.04
TEC-MA-10003673,Technology,Machines,Hewlett-Packard Desktjet 6988DT Refurbished Printer,47,0.09,0
OFF-ST-10001490,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",80,0.11,0.1
TEC-PH-10001578,Technology,Phones,Polycom SoundStation2 EX Conference phone,52,0.09,0.2
TEC-CO-10000208,Technology,Copiers,"Brother Wireless Fax, Color",52,0.1,0.18
FUR-CH-10003312,Furniture,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,112,0.02,0.19
TEC-EPS-10000053,Technology,Machines,"Epson Receipt Printer, Red",49,0.12,0.08
OFF-ST-10004060,Office Supplies,Storage,"Fellowes Lockers, Blue",152,0.11,0.08
TEC-PH-10000303,Technology,Phones,"Samsung Smart Phone, VoIP",286,0.05,0.02
FUR-BO-10002708,Furniture,Bookcases,"Dania Library with Doors, Pine",314,0.12,0.14
FUR-BO-10000210,Furniture,Bookcases,"Ikea Library with Doors, Pine",156,0.08,0.05
FUR-BO-10001192,Furniture,Bookcases,"Bush Library with Doors, Mobile",65,0.17,0.1
FUR-SAU-10002255,Furniture,Bookcases,"Sauder Classic Bookcase, Pine",185,0,0.15
FUR-CH-10000974,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black",152,0.14,0.17
OFF-AP-10003866,Office Supplies,Appliances,"Breville Microwave, Red",71,0.01,0.17
FUR-CH-10003616,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable",168,0.18,0.17
FUR-CH-10000479,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",323,0.12,0.18
TEC-CO-10001046,Technology,Copiers,Canon Imageclass D680 Copier / Fax,186,0.06,0.02
OFF-HOO-10000318,Office Supplies,Appliances,"Hoover Microwave, Silver",326,0,0.02
TEC-NOK-10001283,Technology,Phones,"Nokia Smart Phone, Full Size",279,0.17,0.07
OFF-AP-10000407,Office Supplies,Appliances,"KitchenAid Refrigerator, Silver",54,0.1,0.1
OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,223,0.17,0.01
FUR-CH-10002335,Furniture,Chairs,Hon GuestStacker Chair,241,0.08,0.09
TEC-MA-10001148,Technology,Machines,Okidata MB491 Multifunction Printer,257,0.14,0.13
FUR-BAR-10004434,Furniture,Tables,"Barricks Wood Table, Rectangular",273,0.16,0.16
FUR-BO-10002444,Furniture,Bookcases,"Sauder Library with Doors, Mobile",47,0.04,0.17
FUR-BO-10004709,Furniture,Bookcases,"Bush Classic Bookcase, Pine",177,0.12,0.08
TEC-MA-10004772,Technology,Machines,"Konica Inkjet, White",85,0.07,0.17
FUR-BAR-10003532,Furniture,Tables,"Barricks Conference Table, Rectangular",282,0.08,0.2
TEC-CO-10002911,Technology,Copiers,"Hewlett Wireless Fax, Laser",84,0.02,0.16
FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,151,0.1,0.03
FUR-SAU-10004653,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional",98,0.18,0.17
TEC-NOK-10004339,Technology,Phones,"Nokia Smart Phone, Cordless",287,0.07,0.02
FUR-TA-10000022,Furniture,Tables,"Hon Conference Table, Adjustable Height",116,0.13,0.11
FUR-CH-10000843,Furniture,Chairs,"SAFCO Executive Leather Armchair, Set of Two",154,0.15,0.1
OFF-AP-10002681,Office Supplies,Appliances,"Hamilton Beach Stove, Black",246,0.14,0.09
TEC-AC-10002049,Technology,Accessories,Plantronics Savi W720 Multi-Device Wireless Headset System,186,0.07,0.06
OFF-BI-10003925,Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine,236,0.08,0.15
OFF-AP-10004627,Office Supplies,Appliances,"Hamilton Beach Stove, Silver",90,0.1,0
TEC-PH-10001076,Technology,Phones,"Nokia Smart Phone, Cordless",287,0.11,0.05
TEC-PH-10001457,Technology,Phones,"Apple Smart Phone, Full Size",257,0.04,0.04
TEC-MA-10004534,Technology,Machines,"Konica Printer, Wireless",108,0.17,0.2
FUR-BO-10003991,Furniture,Bookcases,"Bush Classic Bookcase, Traditional",182,0.2,0.1
OFF-AP-10002793,Office Supplies,Appliances,"KitchenAid Stove, Black",48,0.05,0.02
FUR-CH-10002093,Furniture,Chairs,"Harbour Creations Rocking Chair, Adjustable",282,0.14,0.07
FUR-BO-10003103,Furniture,Bookcases,"Ikea Classic Bookcase, Metal",255,0.2,0.16
TEC-CO-10001818,Technology,Copiers,"Sharp Wireless Fax, Digital",131,0,0.15
TEC-CO-10002040,Technology,Copiers,"Brother Fax Machine, Digital",69,0.15,0.04
TEC-CO-10001654,Technology,Copiers,"Hewlett Wireless Fax, Digital",178,0.1,0.14
OFF-AP-10002397,Office Supplies,Appliances,"Breville Microwave, White",88,0.03,0.05
TEC-CAN-10001853,Technology,Copiers,"Canon Fax Machine, High-Speed",41,0.08,0.02
FUR-CH-10001207,Furniture,Chairs,"Hon Executive Leather Armchair, Red",161,0,0.2
TEC-PH-10002597,Technology,Phones,"Apple Signal Booster, with Caller ID",140,0,0.15
TEC-CO-10002617,Technology,Copiers,"Brother Fax Machine, High-Speed",323,0.05,0
TEC-CO-10000556,Technology,Copiers,"HP Wireless Fax, Laser",213,0.18,0.14
OFF-AP-10000275,Office Supplies,Appliances,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",70,0.09,0.15
TEC-HEW-10003460,Technology,Copiers,"Hewlett Fax and Copier, Color",109,0.16,0.03
TEC-PH-10002672,Technology,Phones,"Cisco Smart Phone, Full Size",151,0.05,0.07
TEC-PH-10000106,Technology,Phones,"Apple Smart Phone, Full Size",257,0.18,0.18
OFF-AP-10003057,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,243,0.09,0.08
TEC-CO-10002095,Technology,Copiers,Hewlett Packard 610 Color Digital Copier / Printer,252,0.1,0.19
TEC-SAM-10000345,Technology,Phones,"Samsung Audio Dock, with Caller ID",150,0.14,0.11
TEC-CIS-10002259,Technology,Phones,"Cisco Smart Phone, Cordless",188,0.14,0.06
OFF-AP-10004350,Office Supplies,Appliances,"KitchenAid Refrigerator, Red",58,0.03,0.09
OFF-HOO-10000335,Office Supplies,Appliances,"Hoover Microwave, White",310,0.12,0.02
FUR-BO-10004129,Furniture,Bookcases,"Sauder Classic Bookcase, Pine",185,0.02,0.17
OFF-ST-10004597,Office Supplies,Storage,"Rogers File Cart, Blue",232,0.09,0.15
FUR-CH-10001664,Furniture,Chairs,"Novimex Swivel Stool, Black",233,0.16,0.11
OFF-AP-10003240,Office Supplies,Appliances,"Breville Stove, Black",60,0.17,0.09
FUR-TA-10000136,Furniture,Tables,"Chromcraft Conference Table, Adjustable Height",233,0.01,0.02
FUR-BO-10002866,Furniture,Bookcases,"Safco Classic Bookcase, Pine",270,0.01,0.05
OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers,259,0.09,0.01
FUR-TA-10001276,Furniture,Tables,"Lesro Coffee Table, with Bottom Storage",207,0.19,0.07
TEC-MA-10002178,Technology,Machines,Cisco CP-7937G Unified IP Conference Station Phone,254,0.02,0.13
TEC-APP-10002966,Technology,Phones,"Apple Smart Phone, Full Size",257,0.09,0.05
FUR-CH-10000685,Furniture,Chairs,"Hon Executive Leather Armchair, Black",153,0.05,0.06
FUR-BO-10001541,Furniture,Bookcases,"Bush Stackable Bookrack, Traditional",105,0.1,0.2
TEC-CO-10003931,Technology,Copiers,"Hewlett Fax Machine, High-Speed",54,0.14,0.11
FUR-BO-10001553,Furniture,Bookcases,"Sauder Library with Doors, Traditional",238,0.13,0.14
OFF-ST-10004748,Office Supplies,Storage,"Smead Lockers, Blue",291,0.18,0.07
OFF-AP-10000540,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Red",86,0.01,0.14
TEC-CO-10004567,Technology,Copiers,"Brother Fax Machine, Color",282,0.12,0.09
FUR-BO-10001749,Furniture,Bookcases,"Bush Classic Bookcase, Traditional",182,0.1,0.05
OFF-ROG-10003898,Office Supplies,Storage,"Rogers Lockers, Single Width",135,0.05,0.19
TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,122,0.2,0.14
TEC-CO-10002663,Technology,Copiers,"Sharp Wireless Fax, Laser",165,0.12,0.11
TEC-CO-10001419,Technology,Copiers,"Hewlett Copy Machine, Color",224,0.1,0.04
TEC-CO-10003763,Technology,Copiers,Canon PC1060 Personal Laser Copier,134,0.2,0.05
TEC-CO-10000679,Technology,Copiers,"Hewlett Personal Copier, High-Speed",326,0.13,0.09
FUR-IKE-10001539,Furniture,Bookcases,"Ikea Classic Bookcase, Pine",43,0.15,0.18
TEC-CO-10002376,Technology,Copiers,"Hewlett Fax Machine, Laser",160,0.02,0.17
FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",157,0.17,0.12
OFF-AP-10000136,Office Supplies,Appliances,"Hamilton Beach Refrigerator, White",254,0.08,0.04
FUR-BO-10000567,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional",98,0,0.12
FUR-BO-10001471,Furniture,Bookcases,"Sauder Classic Bookcase, Metal",114,0.09,0.14
OFF-ST-10001758,Office Supplies,Storage,"Rogers Lockers, Blue",41,0.13,0.05
TEC-AC-10003870,Technology,Accessories,Logitech Z-906 Speaker sys - home theater - 5.1-CH,217,0.12,0.06
OFF-ST-10004191,Office Supplies,Storage,"Tenex Lockers, Blue",305,0.05,0
FUR-TA-10004154,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",150,0.06,0.13
FUR-OFF-10001224,Furniture,Chairs,"Office Star Swivel Stool, Red",173,0.09,0.19
FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",307,0.14,0.12
OFF-AP-10004913,Office Supplies,Appliances,"KitchenAid Refrigerator, Black",152,0.19,0.1
TEC-MA-10002392,Technology,Machines,"Konica Card Printer, Wireless",204,0.08,0.12
FUR-TA-10003222,Furniture,Tables,"Barricks Wood Table, with Bottom Storage",232,0.18,0.04
