CUSTOMER_NUMBER,COMPANY_NAME,PRIMARY_INDUSTRY,REVENUES (IN MILLIONS DOLLAR),CATEGORY,Account_number
959111055,Twenty-First Century Fox Inc,Publishing & Printing,44974,CAT-A,38673630
959111056,Masco Corp,Furniture & Fixtures,47464,CAT-A,38673631
959111057,Nike Inc,Apparel,23768,CAT-C,38673632
959111058,Mueller Industries Inc,Primary Metals,37592,CAT-B,38673633
959111059,Koppers Holdings Inc,Chemicals,2196,CAT-F,38673634
959111060,IBM Corp,Computers & Other Electronic Products,43467,CAT-A,38673635
959111061,Newfield Exploration Co,Petroleum & Coal Products,42560,CAT-A,38673636
959111062,Advanced Drainage Systems Inc,Plastics,21678,CAT-C,38673637
959111063,Brocade Communications Systems Inc,Computers & Other Electronic Products,34032,CAT-B,38673638
959111064,Enterprise Products Partners LP,Petroleum & Coal Products,8470,CAT-E,38673639
959111065,Microsemi Corp,Computers & Other Electronic Products,33512,CAT-B,38673640
959111066,Avery Dennison Corp,Paper,15653,CAT-D,38673641
959111067,Cooper Tire & Rubber Co,Rubber Products,46779,CAT-A,38673642
959111068,Global Brass & Copper Holdings Inc,Fabricated Metal Products,24058,CAT-C,38673643
959111069,Mead Johnson Nutrition Co,Beverages,33137,CAT-B,38673644
959111070,Chemours Co,Chemicals,10955,CAT-D,38673645
959111071,Wabtec Corp,"Railcars, Ships, & Other Trans Equip",33648,CAT-B,38673646
959111072,Diebold Inc,Electrical Equipment & Appliances,23958,CAT-C,38673647
959111073,AdvanSix Inc,Plastics,28107,CAT-C,38673648
959111074,G-III Apparel Group Ltd,Apparel,24974,CAT-C,38673649
959111075,Tower International Inc,Motor Vehicle Parts,42973,CAT-A,38673650
959111076,Colfax Corp,Machinery,41504,CAT-A,38673651
959111077,Cooper Companies Inc,Medical Instruments & Equipment,4809,CAT-F,38673652
959111078,Freeport-McMoRan Inc,Primary Metals,41287,CAT-A,38673653
959111079,ResMed Inc,Medical Instruments & Equipment,2025,CAT-F,38673654
959111080,"SS&C Technologies Holdings, Inc",Publishing & Printing,1053,CAT-F,38673655
959111081,M Co,Chemicals,44001,CAT-A,38673656
959111082,Sensient Technologies Corp,Food,39007,CAT-B,38673657
959111083,Mohawk Industries Inc,Textiles,34096,CAT-B,38673658
959111084,Tegna Inc,Publishing & Printing,8134,CAT-E,38673659
959111085,HNI Corp,Furniture & Fixtures,32440,CAT-B,38673660
959111086,Cabot Corp,Chemicals,9870,CAT-E,38673661
959111087,Kraft Heinz Co,Food,40559,CAT-A,38673662
959111088,Manitowoc Foodservice Inc,Electrical Equipment & Appliances,35028,CAT-B,38673663
959111089,National Fuel Gas Co,Petroleum & Coal Products,4028,CAT-F,38673664
959111090,Schnitzer Steel Industries Inc,Primary Metals,23653,CAT-C,38673665
959111091,Amkor Technology Inc,Computers & Other Electronic Products,9393,CAT-E,38673666
959111092,John Wiley & Sons Inc,Publishing & Printing,42362,CAT-A,38673667
959111093,Analog Devices Inc,Computers & Other Electronic Products,30622,CAT-B,38673668
959111094,Clearwater Paper Corp,Paper,9054,CAT-E,38673669
959111095,ON Semiconductor Corp,Computers & Other Electronic Products,11312,CAT-D,38673670
959111096,Tegna Inc,Publishing & Printing,8134,CAT-E,38673671
959111097,Rockwell Automation Inc,Electrical Equipment & Appliances,21418,CAT-C,38673672
959111098,Armstrong World Industries Inc,Rubber Products,16244,CAT-D,38673673
959111099,New York Times Co,Publishing & Printing,31269,CAT-B,38673674
959111100,Berry Global Group Inc,Plastics,27422,CAT-C,38673675
959111101,Coca-Cola Co,Beverages,19652,CAT-D,38673676
959111102,Air Products & Chemicals Inc,Chemicals,22657,CAT-C,38673677
959111103,Nordson Corp,Machinery,38899,CAT-B,38673678
959111104,eXegenics Inc (United States),Pharmaceuticals,29303,CAT-C,38673679
959111105,BorgWarner Inc,Motor Vehicle Parts,14128,CAT-D,38673680
959111106,VWR Corp,Medical Instruments & Equipment,38579,CAT-B,38673681
959111107,"Patrick Industries, Inc",Wood Products,532,CAT-G,38673682
959111108,Deckers Outdoor Corp,Apparel,26535,CAT-C,38673683
959111109,Devon Energy Corp,Petroleum & Coal Products,16445,CAT-D,38673684
959111110,Tupperware Brands Corp,Plastics,1900,CAT-F,38673685
959111111,Huntington Ingalls Industries Inc,"Railcars, Ships, & Other Trans Equip",39597,CAT-B,38673686
959111112,Alcoa Corp,Fabricated Metal Products,14337,CAT-D,38673687
959111113,Darling Ingredients Inc,Food,49335,CAT-A,38673688
959111114,EOG Resources Inc,Petroleum & Coal Products,18319,CAT-D,38673689
959111115,Fitbit Inc,Computers & Other Electronic Products,45929,CAT-A,38673690
959111116,Fitbit Inc,Computers & Other Electronic Products,45929,CAT-A,38673691
959111117,Cypress Semiconductor Corp,Computers & Other Electronic Products,15255,CAT-D,38673692
959111118,MPM Holdings Inc,Chemicals,25927,CAT-C,38673693
959111119,Oneok Inc,Petroleum & Coal Products,30039,CAT-B,38673694
959111120,Harris Corp,Communications Equipment,23205,CAT-C,38673695
959111121,Southern Copper Corp,Primary Metals,7423,CAT-E,38673696
959111122,Applied Materials Inc,Computers & Other Electronic Products,12684,CAT-D,38673697
959111123,IBM Corp,Computers & Other Electronic Products,43467,CAT-A,38673698
959111124,Boston Scientific Corp,Medical Instruments & Equipment,7468,CAT-E,38673699
959111125,Delek US Holdings Inc,Petroleum & Coal Products,13364,CAT-D,38673700
959111126,Meritor Inc,Motor Vehicle Parts,33456,CAT-B,38673701
959111127,Olin Corp,Chemicals,40283,CAT-A,38673702
959111128,RPM International Inc,Chemicals,35459,CAT-B,38673703
959111129,Owens-Illinois Inc,"Stone, Clay, Glass & Concrete Products",47974,CAT-A,38673704
959111130,Valspar Corp,Chemicals,16358,CAT-D,38673705
959111131,Illumina Inc,Medical Instruments & Equipment,37475,CAT-B,38673706
959111132,Apple Inc,Computers & Other Electronic Products,9495,CAT-E,38673707
959111133,Graphic Packaging Holding Co,Paper,33858,CAT-B,38673708
959111134,Cenveo Inc,Paper,6065,CAT-E,38673709
959111135,Halyard Health Inc,Medical Instruments & Equipment,43771,CAT-A,38673710
959111136,Fortune Brands Home & Security Inc,Fabricated Metal Products,38708,CAT-B,38673711
959111137,Schnitzer Steel Industries Inc,Primary Metals,23653,CAT-C,38673712
959111138,Hillenbrand Inc,Wood Products,42132,CAT-A,38673713
959111139,KapStone,Paper & Packaging Corp Paper,4882,CAT-F,38673714
959111140,Heico Corp,Aerospace & Defense,2176,CAT-F,38673715
959111141,Cabot Corp,Chemicals,9870,CAT-E,38673716
959111142,Valspar Corp,Chemicals,16358,CAT-D,38673717
959111143,Masco Corp,Furniture & Fixtures,47464,CAT-A,38673718
959111144,MPM Holdings Inc,Chemicals,25927,CAT-C,38673719
959111145,Mettler-Toledo International Inc,Instruments,18813,CAT-D,38673720
959111146,Belden Inc,Electrical Equipment & Appliances,13205,CAT-D,38673721
959111147,Anadarko Petroleum Corp,Petroleum & Coal Products,16701,CAT-D,38673722
959111148,Carlisle Cos Inc,Miscellaneous,30270,CAT-B,38673723
959111149,Targa Resources Corp,Petroleum & Coal Products,1446,CAT-F,38673724
959111150,Newell Rubbermaid Inc,Miscellaneous,30228,CAT-B,38673725
959111151,Drew Industries Inc,Motor Vehicle Parts,44372,CAT-A,38673726
959111152,EchoStar Corp,Communications Equipment,24213,CAT-C,38673727
959111153,First Solar Inc,Electrical Equipment & Appliances,19695,CAT-D,38673728
959111154,"Cirrus Logic, Inc",Computers & Other Electronic Products,1545,CAT-F,38673729
959111155,"U S Concrete, Inc","Stone, Clay, Glass & Concrete Products",19811,CAT-D,38673730
959111156,Marathon Petroleum Corp,Petroleum & Coal Products,49709,CAT-A,38673731
959111157,Alcoa Corp,Fabricated Metal Products,14337,CAT-D,38673732
959111158,Hanesbrands Inc,Textiles,10231,CAT-D,38673733
959111159,New York Times Co,Publishing & Printing,31269,CAT-B,38673734
959111160,Acco Brands Corp,Miscellaneous,31494,CAT-B,38673735
959111161,CVR Refining LP,Petroleum & Coal Products,6861,CAT-E,38673736
959111162,Mettler-Toledo International Inc,Instruments,18813,CAT-D,38673737
959111163,Emerson Electric Co,Electrical Equipment & Appliances,42608,CAT-A,38673738
959111164,H B Fuller Co,Chemicals,28424,CAT-C,38673739
959111165,Carpenter Technology Corp,Primary Metals,4367,CAT-F,38673740
959111166,Sanderson Farms Inc,Food,35149,CAT-B,38673741
959111167,TreeHouse Foods Inc,Food,33048,CAT-B,38673742
959111168,Lam Research Corp,Computers & Other Electronic Products,44474,CAT-A,38673743
959111169,McCormick & Co Inc,Food,9812,CAT-E,38673744
959111170,FLIR Systems Inc,Electrical Equipment & Appliances,15922,CAT-D,38673745
959111171,Griffon Corp,Fabricated Metal Products,18868,CAT-D,38673746
959111172,Snap-On Inc,Instruments,1036,CAT-F,38673747
959111173,Renewable Energy Group Inc,Petroleum & Coal Products,41548,CAT-A,38673748
959111174,Deckers Outdoor Corp,Apparel,26535,CAT-C,38673749
959111175,Manitowoc Co Inc,Machinery,49914,CAT-A,38673750
959111176,Linear Technology Corp,Computers & Other Electronic Products,14425,CAT-D,38673751
959111177,Belden Inc,Electrical Equipment & Appliances,13205,CAT-D,38673752
959111178,Spectra Energy Corp Inc,Petroleum & Coal Products,42464,CAT-A,38673753
959111179,Deluxe Corp,Publishing & Printing,49134,CAT-A,38673754
959111180,A Schulman Inc,Chemicals,1116,CAT-F,38673755
959111181,Joy Global Inc,Machinery,24829,CAT-C,38673756
959111182,Masco Corp,Furniture & Fixtures,47464,CAT-A,38673757
959111183,Amphenol Corp,Computers & Other Electronic Products,45176,CAT-A,38673758
959111184,Guess Inc,Apparel,4805,CAT-F,38673759
959111185,IBM Corp,Computers & Other Electronic Products,43467,CAT-A,38673760
959111186,Titan International Inc,Primary Metals,27241,CAT-C,38673761
959111187,AVX Corp,Computers & Other Electronic Products,7669,CAT-E,38673762
959111188,Concho Resources Inc,Petroleum & Coal Products,10973,CAT-D,38673763
959111189,Hanesbrands Inc,Textiles,10231,CAT-D,38673764
959111190,Sealed Air Corp,Plastics,46863,CAT-A,38673765
959111191,Park-Ohio Holdings Corp,Miscellaneous,32675,CAT-B,38673766
959111192,USG Corp,"Stone, Clay, Glass & Concrete Products",4887,CAT-F,38673767
959111193,Du Pont & Co,Chemicals,39026,CAT-B,38673768
959111194,Wabash National Corp,Motor Vehicles,39767,CAT-B,38673769
959111195,International Paper Co,Paper,49413,CAT-A,38673770
959111196,General Motors Co,Motor Vehicles,4928,CAT-F,38673771
959111197,MDU Resources Group Inc,Miscellaneous,16717,CAT-D,38673772
959111198,WestRock Co,Paper,5398,CAT-E,38673773
959111199,EnerSys Inc,Electrical Equipment & Appliances,14226,CAT-D,38673774
959111200,Weyerhaeuser Co,Wood Products,15545,CAT-D,38673775
959111201,Moog Inc,Machinery,9117,CAT-E,38673776
959111202,Zoetis Inc,Pharmaceuticals,47113,CAT-A,38673777
959111203,Bemis Co Inc,Miscellaneous,34522,CAT-B,38673778
959111204,Watts Water Technologies Inc,Machinery,43214,CAT-A,38673779
959111205,Manitowoc Foodservice Inc,Electrical Equipment & Appliances,35028,CAT-B,38673780
959111206,Cintas Corp,Apparel,19116,CAT-D,38673781
959111207,RPM International Inc,Chemicals,35459,CAT-B,38673782
959111208,Greenbrier Cos Inc,"Railcars, Ships, & Other Trans Equip",22607,CAT-C,38673783
959111209,Dana Inc,Motor Vehicle Parts,49690,CAT-A,38673784
959111210,Louisiana-Pacific Corp,Wood Products,11458,CAT-D,38673785
959111211,HP Inc,Computers & Other Electronic Products,39677,CAT-B,38673786
959111212,International Paper Co,Paper,49413,CAT-A,38673787
959111213,Gilead Sciences Inc,Pharmaceuticals,48522,CAT-A,38673788
959111214,Zebra Technologies Corp,Machinery,3189,CAT-F,38673789
959111215,Procter & Gamble Co,Chemicals,7077,CAT-E,38673790
959111216,ResMed Inc,Medical Instruments & Equipment,2025,CAT-F,38673791
959111217,Kellogg Co,Food,45792,CAT-A,38673792
959111218,Mueller Industries Inc,Primary Metals,37592,CAT-B,38673793
959111219,Coach Inc,Apparel,38692,CAT-B,38673794
959111220,Griffon Corp,Fabricated Metal Products,18868,CAT-D,38673795
959111221,EnPro Industries Inc,Motor Vehicle Parts,47382,CAT-A,38673796
959111222,Bruker Corp,Instruments,29830,CAT-C,38673797
959111223,Abbott Laboratories,Pharmaceuticals,19937,CAT-D,38673798
959111224,Western Refining Inc,Petroleum & Coal Products,28181,CAT-C,38673799
959111225,Sherwin-Williams Co,Chemicals,39052,CAT-B,38673800
959111226,Platform Specialty Products Corp,Chemicals,23782,CAT-C,38673801
959111227,Arconic Inc,Primary Metals,32159,CAT-B,38673802
959111228,Qorvo Inc,Computers & Other Electronic Products,9759,CAT-E,38673803
959111229,Colfax Corp,Machinery,41504,CAT-A,38673804
959111230,Nucor Corp,Primary Metals,45663,CAT-A,38673805
959111231,Stepan Co,Chemicals,25932,CAT-C,38673806
959111232,Stryker Corp,Medical Instruments & Equipment,33648,CAT-B,38673807
959111233,Lennox International Inc,Electrical Equipment & Appliances,16416,CAT-D,38673808
959111234,Albemarle Corp,Chemicals,33262,CAT-B,38673809
959111235,Commercial Metals Co,Primary Metals,38914,CAT-B,38673810
959111236,Acco Brands Corp,Miscellaneous,31494,CAT-B,38673811
959111237,Esterline Technologies Corp,Machinery,13861,CAT-D,38673812
959111238,Philip Morris International Inc,Tobacco,5153,CAT-E,38673813
959111239,Sealed Air Corp,Plastics,46863,CAT-A,38673814
959111240,Baxter International Inc,Medical Instruments & Equipment,12106,CAT-D,38673815
959111241,Pinnacle Foods Inc,Food,10539,CAT-D,38673816
959111242,Delek US Holdings Inc,Petroleum & Coal Products,13364,CAT-D,38673817
959111243,Acushnet Holdings Corp,Miscellaneous,26428,CAT-C,38673818
959111244,Rexnord Corp,Machinery,43373,CAT-A,38673819
959111245,FMC Corp,Chemicals,17729,CAT-D,38673820
959111246,Veritiv Corp,Machinery,48771,CAT-A,38673821
959111247,Hill-Rom Holdings Inc,Medical Instruments & Equipment,710,CAT-G,38673822
959111248,PBF Energy Inc,Petroleum & Coal Products,19883,CAT-D,38673823
959111249,Visteon Corp,Motor Vehicle Parts,28712,CAT-C,38673824
959111250,Manitowoc Foodservice Inc,Electrical Equipment & Appliances,35028,CAT-B,38673825
959111251,Praxair Inc,Chemicals,21205,CAT-C,38673826
959111252,Western Gas Equity Partners LP,Petroleum & Coal Products,38975,CAT-B,38673827
959111253,Microsemi Corp,Computers & Other Electronic Products,33512,CAT-B,38673828
959111254,ConocoPhillips,Petroleum & Coal Products,24840,CAT-C,38673829
959111255,Praxair Inc,Chemicals,21205,CAT-C,38673830
959111256,Cimarex Energy Co,Petroleum & Coal Products,4774,CAT-F,38673831
959111257,Sensient Technologies Corp,Food,39007,CAT-B,38673832
959111258,New Media Investment Group Inc,Publishing & Printing,49563,CAT-A,38673833
959111259,KLA-Tencor Corp,Computers & Other Electronic Products,47518,CAT-A,38673834
959111260,Lam Research Corp,Computers & Other Electronic Products,44474,CAT-A,38673835
959111261,BE Aerospace Inc,Aerospace & Defense,30462,CAT-B,38673836
959111262,AMETEK Inc,Instruments,44673,CAT-A,38673837
959111263,Trimble Navigation Ltd,Computers & Other Electronic Products,11679,CAT-D,38673838
959111264,Triumph Group Inc,Aerospace & Defense,49528,CAT-A,38673839
959111265,Armstrong Flooring Inc,Plastics,23413,CAT-C,38673840
959111266,General Dynamics Corp,"Railcars, Ships, & Other Trans Equip",6685,CAT-E,38673841
959111267,HNI Corp,Furniture & Fixtures,32440,CAT-B,38673842
959111268,Dow Chemical Co,Chemicals,14571,CAT-D,38673843
959111269,Lam Research Corp,Computers & Other Electronic Products,44474,CAT-A,38673844
959111270,Mead Johnson Nutrition Co,Beverages,33137,CAT-B,38673845
959111271,Revlon Inc,Chemicals,29827,CAT-C,38673846
959111272,Manitowoc Co Inc,Machinery,49914,CAT-A,38673847
959111273,H B Fuller Co,Chemicals,28424,CAT-C,38673848
959111274,Leggett & Platt Inc,Furniture & Fixtures,34825,CAT-B,38673849
959111275,QEP Resources Inc,Petroleum & Coal Products,23989,CAT-C,38673850
959111276,Axalta Coating Systems Ltd,Miscellaneous,40098,CAT-A,38673851
959111277,"Patrick Industries, Inc",Wood Products,532,CAT-G,38673852
959111278,Apple Inc,Computers & Other Electronic Products,9495,CAT-E,38673853
959111279,Armstrong World Industries Inc,Rubber Products,16244,CAT-D,38673854
959111280,Universal Forest Products Inc,Wood Products,13500,CAT-D,38673855
959111281,Triumph Group Inc,Aerospace & Defense,49528,CAT-A,38673856
959111282,G-III Apparel Group Ltd,Apparel,24974,CAT-C,38673857
959111283,Sensient Technologies Corp,Food,39007,CAT-B,38673858
959111284,Meritor Inc,Motor Vehicle Parts,33456,CAT-B,38673859
959111285,General Motors Co,Motor Vehicles,4928,CAT-F,38673860
959111286,EQT Corp,Petroleum & Coal Products,16499,CAT-D,38673861
959111287,Owens-Illinois Inc,"Stone, Clay, Glass & Concrete Products",47974,CAT-A,38673862
959111288,CommScope Holding Co,Communications Equipment,45996,CAT-A,38673863
959111289,Fitbit Inc,Computers & Other Electronic Products,45929,CAT-A,38673864
959111290,Cintas Corp,Apparel,19116,CAT-D,38673865
959111291,Texas Instruments Inc,Computers & Other Electronic Products,46001,CAT-A,38673866
959111292,"Cirrus Logic, Inc",Computers & Other Electronic Products,1545,CAT-F,38673867
959111293,EchoStar Corp,Communications Equipment,24213,CAT-C,38673868
959111294,Drew Industries Inc,Motor Vehicle Parts,44372,CAT-A,38673869
959111295,Campbell Soup Co,Food,44104,CAT-A,38673870
959111296,Microchip Technology Inc,Computers & Other Electronic Products,11559,CAT-D,38673871
959111297,Mattel Inc,Miscellaneous,38663,CAT-B,38673872
959111298,VF Corp,Apparel,26991,CAT-C,38673873
959111299,Greif Inc,Paper,3608,CAT-F,38673874
959111300,Curtiss-Wright Corp,Machinery,2793,CAT-F,38673875
959111301,IBM Corp,Computers & Other Electronic Products,43467,CAT-A,38673876
959111302,AVX Corp,Computers & Other Electronic Products,7669,CAT-E,38673877
959111303,"Palo Alto Networks, Inc",Computers & Other Electronic Products,6397,CAT-E,38673878
959111304,Conagra Brands Inc,Food,8935,CAT-E,38673879
959111305,"Cirrus Logic, Inc",Computers & Other Electronic Products,1545,CAT-F,38673880
959111306,IBM Corp,Computers & Other Electronic Products,43467,CAT-A,38673881
959111307,Fossil Group Inc,Apparel,1333,CAT-F,38673882
959111308,Lincoln Electric Holdings Inc,Machinery,34715,CAT-B,38673883
959111309,Darling Ingredients Inc,Food,49335,CAT-A,38673884
959111310,Visteon Corp,Motor Vehicle Parts,28712,CAT-C,38673885
959111311,Chemours Co,Chemicals,10955,CAT-D,38673886
959111312,Edgewell Personal Care Co,Electrical Equipment & Appliances,49753,CAT-A,38673887
959111313,Lam Research Corp,Computers & Other Electronic Products,44474,CAT-A,38673888
959111314,Harley-Davidson Inc,Motor Vehicles,48872,CAT-A,38673889
959111315,Du Pont & Co,Chemicals,39026,CAT-B,38673890
959111316,Cabot Corp,Chemicals,9870,CAT-E,38673891
959111317,Tenneco Inc,Motor Vehicle Parts,40706,CAT-A,38673892
959111318,PACCAR Inc,Motor Vehicles,17209,CAT-D,38673893
959111319,BorgWarner Inc,Motor Vehicle Parts,14128,CAT-D,38673894
959111320,VeriFone Systems Inc,Computers & Other Electronic Products,5101,CAT-E,38673895
959111321,CMS Energy Corp,Petroleum & Coal Products,11306,CAT-D,38673896
959111322,Freeport-McMoRan Inc,Primary Metals,41287,CAT-A,38673897
959111323,Century Aluminum Co,Fabricated Metal Products,2592,CAT-F,38673898
959111324,Masco Corp,Furniture & Fixtures,47464,CAT-A,38673899
959111325,Hologic Inc,Instruments,37014,CAT-B,38673900
959111326,SM Energy Co,Petroleum & Coal Products,7967,CAT-E,38673901
959111327,Eastman Kodak Co,Chemicals,2892,CAT-F,38673902
959111328,Colfax Corp,Machinery,41504,CAT-A,38673903
959111329,Parker Hannifin Corp,Machinery,9286,CAT-E,38673904
959111330,EQT Corp,Petroleum & Coal Products,16499,CAT-D,38673905
959111331,Bemis Co Inc,Miscellaneous,34522,CAT-B,38673906
959111332,Tyson Foods Inc,Food,1533,CAT-F,38673907
959111333,John Bean Technologies Corp,Electrical Equipment & Appliances,13793,CAT-D,38673908
959111334,Linear Technology Corp,Computers & Other Electronic Products,14425,CAT-D,38673909
959111335,Southwest Gas Corporation,Petroleum & Coal Products,40218,CAT-A,38673910
959111336,Advanced Drainage Systems Inc,Plastics,21678,CAT-C,38673911
959111337,Martin Marietta Materials Inc,"Stone, Clay, Glass & Concrete Products",6526,CAT-E,38673912
959111338,Mueller Industries Inc,Primary Metals,37592,CAT-B,38673913
959111339,Vertex Pharmaceuticals Inc,Pharmaceuticals,11449,CAT-D,38673914
959111340,NVIDIA Corp,Computers & Other Electronic Products,43588,CAT-A,38673915
959111341,Twenty-First Century Fox Inc,Publishing & Printing,44974,CAT-A,38673916
959111342,Griffon Corp,Fabricated Metal Products,18868,CAT-D,38673917
959111343,Gentex Corp,Motor Vehicle Parts,9679,CAT-E,38673918
959111344,Teradyne Inc,Instruments,2537,CAT-F,38673919
959111345,Guess Inc,Apparel,4805,CAT-F,38673920
959111346,Select Comfort Corp,Furniture & Fixtures,35922,CAT-B,38673921
959111347,Mondelez International Inc,Food,37091,CAT-B,38673922
959111348,Monster Beverage Corp,Beverages,14171,CAT-D,38673923
959111349,Seneca Foods Corp,Food,44484,CAT-A,38673924
959111350,Hershey Co,Food,5946,CAT-E,38673925
959111351,Qualcomm Inc,Communications Equipment,34336,CAT-B,38673926
959111352,Acushnet Holdings Corp,Miscellaneous,26428,CAT-C,38673927
959111353,Stanley Black & Decker Inc,Fabricated Metal Products,48933,CAT-A,38673928
959111354,Kraton Performance Polymers Inc,Plastics,32296,CAT-B,38673929
959111355,Maxim Integrated Products Inc,Computers & Other Electronic Products,19663,CAT-D,38673930
959111356,TTM Technologies Inc,Computers & Other Electronic Products,40538,CAT-A,38673931
959111357,Ecolab Inc,Chemicals,3517,CAT-F,38673932
959111358,Toro Co,Machinery,48761,CAT-A,38673933
959111359,B&G Foods Inc (New),Food,23372,CAT-C,38673934
959111360,Hexcel Corp,Miscellaneous,19147,CAT-D,38673935
959111361,Constellation Brands Inc,Beverages,42807,CAT-A,38673936
959111362,Middleby Corp,Electrical Equipment & Appliances,19630,CAT-D,38673937
959111363,Sanmina Corp,Computers & Other Electronic Products,11005,CAT-D,38673938
959111364,Plexus Corp,Computers & Other Electronic Products,5710,CAT-E,38673939
959111365,Regeneron Pharmaceuticals Inc,Pharmaceuticals,20344,CAT-C,38673940
959111366,Cooper Tire & Rubber Co,Rubber Products,46779,CAT-A,38673941
959111367,Sherwin-Williams Co,Chemicals,39052,CAT-B,38673942
959111368,PLY Gem Holdings Inc,Wood Products,3028,CAT-F,38673943
959111369,PBF Energy Inc,Petroleum & Coal Products,19883,CAT-D,38673944
959111370,Allison Transmission Holdings Inc,Motor Vehicle Parts,17288,CAT-D,38673945
959111371,Ford Motor Co,Motor Vehicles,29960,CAT-C,38673946
959111372,Oneok Inc,Petroleum & Coal Products,30039,CAT-B,38673947
959111373,Kronos Worldwide Inc,Chemicals,23424,CAT-C,38673948
959111374,CVR Energy Inc,Petroleum & Coal Products,49856,CAT-A,38673949
959111375,Activision Blizzard Inc,Computers & Other Electronic Products,46342,CAT-A,38673950
959111376,Vector Group Ltd,Tobacco,26301,CAT-C,38673951
959111377,PolyOne Corp,Plastics,14293,CAT-D,38673952
